التاريخ,نوع التحصيل,شركة الشحن,المبلغ المحصل (جم),عدد الشحنات,حالة التحصيل,إيصال التحصيل,,,,,,,,,,,,,,
25/12/31,شحن داخلي,شحن احمد شهر 12 164145,EGP 164٬145٫00,,,,,,,,,,,,,,,,,
26/01/05,شركة شحن عايدة,"3714 05/01/2026 من الشركة للعميل 51,075.00",EGP 51٬075٫00,,,,,,,,,,,,,,,,,
26/01/06,شركة شحن عايدة,"3730 06/01/2026 من الشركة للعميل 50,000.00",EGP 50٬000٫00,,,,,,,,,,,,,,,,,
26/01/07,شركة شحن عايدة,"3753 07/01/2026 من الشركة للعميل 41,015.00",EGP 41٬015٫00,,,,,,,,,,,,,,,,,
26/01/08,شركة شحن عايدة,"3777 08/01/2026 من الشركة للعميل 50,000.00",EGP 50٬000٫00,,,,,,,,,,,,,,,,,
26/01/10,شركة شحن عايدة,"3810 10/01/2026 من الشركة للعميل 25,030.00",EGP 25٬030٫00,,,,,,,,,,,,,,,,,
26/01/11,شركة شحن عايدة,"3838 11/01/2026 من الشركة للعميل 27,315.00",EGP 27٬315٫00,,,,,,,,,,,,,,,,,
26/01/12,شركة شحن عايدة,"3857 12/01/2026 من الشركة للعميل 44,660.00",EGP 44٬660٫00,,,,,,,,,,,,,,,,,
26/01/13,شركة شحن عايدة,"3880 13/01/2026 من الشركة للعميل 59,995.00",EGP 59٬995٫00,,,,,,,,,,,,,,,,,
26/01/14,شركة شحن عايدة,"3912 14/01/2026 من الشركة للعميل 29,010.00",EGP 29٬010٫00,,,,,,,,,,,,,,,,,
26/01/05,شركة شحن أوفرسايز,"3715 05/01/2026 من الشركة للعميل 24,460.00",EGP 24٬460٫00,,,,,,,,,,,,,,,,,
26/01/06,شركة شحن أوفرسايز,"3731 06/01/2026 من الشركة للعميل 20,015.00",EGP 20٬015٫00,,,,,,,,,,,,,,,,,
26/01/07,شركة شحن أوفرسايز,"3754 07/01/2026 من الشركة للعميل 14,025.00",EGP 14٬025٫00,,,,,,,,,,,,,,,,,
26/01/08,شركة شحن أوفرسايز,"3778 08/01/2026 من الشركة للعميل 11,000.00",EGP 11٬000٫00,,,,,,,,,,,,,,,,,
26/01/10,شركة شحن أوفرسايز,"3809 10/01/2026 من الشركة للعميل 24,400.00",EGP 24٬400٫00,,,,,,,,,,,,,,,,,
26/01/11,شركة شحن أوفرسايز,"3837 11/01/2026 من الشركة للعميل 8,380.00",EGP 8٬380٫00,,,,,,,,,,,,,,,,,
26/01/12,شركة شحن أوفرسايز,"3858 12/01/2026 من الشركة للعميل 20,470.00",EGP 20٬470٫00,,,,,,,,,,,,,,,,,
26/01/13,شركة شحن أوفرسايز,"3881 13/01/2026 من الشركة للعميل 15,130.00",EGP 15٬130٫00,,,,,,,,,,,,,,,,,
26/01/14,شركة شحن أوفرسايز,"3913 14/01/2026 من الشركة للعميل 10,210.00",EGP 10٬210٫00,,,,,,,,,,,,,,,,,
26/01/18,شركة شحن أوفرسايز,"3993 18/01/2026 من الشركة للعميل 42,565.00",EGP 42٬565٫00,,,,,,,,,,,,,,,,,
