التاريخ,البند الرئيسي,تفاصيل,أونلاين / مصنع,المبلغ (جم),طريقة الدفع,ملاحظات,,,,,,,,,,,,,,,,,,,
25/12/09,حساب ريهام,10 الف ريهام,مصنع,EGP 10٬000٫00,نقدي,,,,,,,,,,,,,,,,,,,,
25/12/09,إعلانات عايدة,٢٠ الف اعلانات عايدة,أونلاين,EGP 20٬000٫00,نقدي,,,,,,,,,,,,,,,,,,,,
25/12/09,إعلانات اوفر,٧٥٠٠ اوفر سايز,أونلاين,EGP 7٬500٫00,نقدي,,,,,,,,,,,,,,,,,,,,
25/12/09,قماش,٥٠ الف من حساب بشار,مصنع,EGP 50٬000٫00,نقدي,,,,,,,,,,,,,,,,,,,,
25/12/09,اكراميات,٢٠٠ج مشال,مصنع,EGP 200٫00,نقدي,,,,,,,,,,,,,,,,,,,,
25/12/09,موديل وبلوجر,بلوجر اوفر سايز,أونلاين,EGP 3٬000٫00,نقدي,,,,,,,,,,,,,,,,,,,,
25/12/11,إعلانات عايدة,اعلانات عايدة,أونلاين,EGP 27٬600٫00,نقدي,,,,,,,,,,,,,,,,,,,,
25/12/11,إعلانات اوفر,٦الف اوفر سايز,أونلاين,EGP 6٬000٫00,نقدي,,,,,,,,,,,,,,,,,,,,
25/12/11,انتقالات,45 اسكوتر,مصنع,EGP 45٫00,نقدي,,,,,,,,,,,,,,,,,,,,
25/12/11,سلف مصنع,200 سلفه ياسمين,مصنع,EGP 200٫00,نقدي,,,,,,,,,,,,,,,,,,,,
25/12/11,مرتبات مصنع,13640 مرتبات اسبوع,مصنع,EGP 13٬640٫00,نقدي,,,,,,,,,,,,,,,,,,,,
25/12/11,سلف اونلاين,٢٠٠ رنيا,أونلاين,EGP 200٫00,نقدي,,,,,,,,,,,,,,,,,,,,
25/12/11,انتقالات,٥٠ موصلات,مصنع,EGP 50٫00,نقدي,,,,,,,,,,,,,,,,,,,,
25/12/11,سلف مصنع,200 سلفه محمود,مصنع,EGP 200٫00,نقدي,,,,,,,,,,,,,,,,,,,,
